Tow,Date,Time,Month,Year,SamplingPeriod,Location,Habitat,Basin,Basin2,Latitude,Longitude,Preservative,Start Depth,End Depth,Average Depth,Tow Time,Fish Start,Fish End,Difference,Rotor Constant,Distance (m) (Difference x RC),Fish Diameter(m),Fish Dia Squared,pi,Fish Volume2,Water Temperature (oC),Temp Corrected,Source for Temp correction,EC,Salinity,EstSalinity,NTU,Secchi (cm),Warp Length (ft),Wire Angle (degrees),longfin_smelt,LFden,Pacific_herring,PHden,delta_smelt,American shad,arrow_goby,bay_pipefish,bigscale_logperch,bluegill,cheekspot_goby,Chinook_salmon,common_carp,fish_eggs,gobies,golden_shiner,inland_silverside,inland_silverside_eggs,jacksmelt,larval_postlarval_fish,longjaw_mudsucker,minnows_and_carps,No_eggs,no_fish,northern_anchovy,Pacific_staghorn_sculpin,prickly_sculpin,rainwater_killifish,Sample_Voided,shimofuri_goby,smelts,splittail,striped_bass,striped bass eggs,sunfishes,threadfin_shad,threespine_stickleback,tule_perch,wakasagi_smelt,white_croaker,yellowfin_goby,Mysid,Mysid Den,Comments,,,,,,,
161,4/5/2016,12:22:00 PM,4,2016,2,Sherman Island,Tidal Marsh,SB,SB,38.071077,-121.8546,,5.1,4.8,4.95,8,534028,535340,1312,26873,35.26,0.75,0.5625,3.14,129.49,12.01,,,226,0.11,0.1,16.6,47,,,0,0,0,0,0,0,,,0,,,,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,0,,0,1,0,0,0,0,0,0,4,0,11,,,,,,,,,,
33,1/26/2016,2:52:00 PM,1,2016,1,Montezuma,Tidal Marsh,SB,SB,38.076459,-121.84106,,4,3,3.5,8.2,757438,772720,15282,26873,410.67,0.75,0.5625,3.14,181.33806,7.26,,,,0.11,0,,,,,2,11.02912428,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
54,2/8/2017,10:42:00 AM,2,2017,1,Carquinez Straight,Channel Surface,WSB,SB,38.066713,-122.258998,Formadahyde,34.2,32,33.1,8.3,476324,490195,13871,26873,372.76,0.75,0.5625,3.14,164.5949634,11.8,11.8,SLS 405,2979,1.56,1.7,75.2,21,na,na,34,206.5676816,1816,11033.14441,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,1348,0,,0,0,0,0,,0,,0,,0,0,18,1,60.75520048,zoop net crooked,,,,,,,
41,2/6/2017,12:33:00 PM,2,2017,1,Wheeler marsh,Tidal Marsh,SB,SB,38.074193,-121.942667,Formadahyde,14.2,11.3,12.8,9,357233,368534,11301,26873,303.69,0.75,0.5625,3.14,134.0990326,9.4,9.4,SLS 519,249,0.12,0.1,25.9,37,na,na,2,14.91435069,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,54,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
251,4/5/2017,3:54:00 PM,4,2017,2,Channel,Channel Bottom,SBP,San Pablo Bay,38.0249,-122.30432,Formadahyde,35.8,29.8,32.8,9,562143,582004,19861,26873,533.73,0.75,0.5625,3.14,235.6730278,14.32,14.32,Regression,17403,10.22,11.5,29.23,49,65,18,10,42.4316694,5,21.2158347,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,15,1824,77395.36497,"Hit bottom, had to retow with the current; 18lb weight tow 9min 10sec",,,,,,,
44,2/6/2017,1:38:00 PM,2,2017,1,Roe Island shoal,Shoal,SB,SB,38.071322,-122.040538,Formadahyde,6.5,8.9,7.7,9.5,379774,380792,1018,26873,27.36,0.75,0.5625,3.14,176.07,9.3,9.3,SLS 501,223,0.11,0.1,24.4,38,na,na,1,5.679559266,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,3,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
181,5/4/2016,11:56:00 AM,5,2016,2,Mallard,Tidal Marsh,SB,SB,38.04322,-121.94481,,5.9,11.7,8.8,10,768505,773564,5059,26873,135.95,0.75,0.5625,3.14,60.03070578,13.18,,,2694,1.4,1.6,45.5,30,,,0,0,0,0,0,0,,,0,,,,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,,0,,0,0,5,0,0,0,0,0,4,0,16,,,,,,,,,,
13,1/24/2017,2:03:00 PM,1,2017,1,Grizzly Bay,Shoal,SB,SB,38.12153,-122.001208,Formadahyde,7,6.9,7,10,16392,24884,8492,26873,228.21,0.75,0.5625,3.14,100.7670989,8.8,8.8,SLS 602,221,0.1,0.1,99.6,19,na,na,1,9.923874069,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,50,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
115,2/24/2017,11:46:00 AM,2,2017,1,Gallinas Creek,Tidal Marsh,SBP,San Pablo Bay,38.009542,-122.504535,Formadahyde,10.8,9.5,10.2,10,304977,313514,8537,26873,229.42,0.75,0.5625,3.14,101.3010744,11.67,11.67,Regression,1323,0.66,0.7,159,10,na,na,0,0,62,334.520341,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,9,0,,0,0,0,0,,0,,0,,0,0,44,0,0,,,,,,,,
42,2/6/2017,12:58:00 PM,2,2017,1,Honker Bay ,Shoal,SB,SB,38.072362,-121.94272,Formadahyde,8,5.7,6.9,10,368534,377233,8699,26873,233.77,0.75,0.5625,3.14,103.223386,9.4,9.4,SLS 519,238,0.11,0.1,27.6,34,na,na,3,29.06318149,0,0,0,,0,,0,0,0,1,0,,0,0,0,,0,0,0,,,0,0,0,158,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
8,1/24/2017,11:20:00 AM,1,2017,1,Suisun Channl,Channel Bottom,SB,SB,38.059142,-122.03882,Formadahyde,33,29,31,10,982602,991353,8751,26873,235.17,0.75,0.5625,3.14,103.8404242,8.9,8.9,SLS 501,191,0.09,0.1,53.4,29,na,24,1,9.630160963,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,4,0,,0,0,0,0,,0,,0,,0,0,0,0,0,24 degree angle; zoop net not fishing straight,,,,,,,
91,2/22/2017,11:40:00 AM,2,2017,1,Grizzly Bay,Shoal,SB,SB,38.126052,-122.041185,Formadahyde,7.5,7.3,7.4,10,991241,999999,8758,26873,235.35,0.75,0.5625,3.14,103.9234871,11.9,11.9,SLS 602,,0.08,,59.6,22,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,78,0,,0,0,1,0,,0,,0,,0,0,0,2,107.9097874,"YSI broken, no water quality data",,,,,,,
63,2/10/2016,,2,2016,1,South Channel,Shoal,SB,SB,38.054351,-121.99644,,3.5,,3.5,10,158006,166848,8842,26873,237.61,0.75,0.5625,3.14,104.9202413,6.72,,,1762,0.91,1,61.9,,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
52,2/8/2016,11:55:00 AM,2,2016,1,San Pablo East,Shoal,SBP,San Pablo Bay,38.055914,-122.26731,,42.3,29,35.65,10,16923,26024,9101,26873,244.57,0.75,0.5625,3.14,107.9935666,7.85,,,23823,,16.2,1049.9,,,,0,0,36,682.912408,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
15,1/14/2016,3:13:00 PM,1,2016,1,Sherman Island,Tidal Marsh,SB,SB,38.046644,-121.82895,,5.3,6.3,5.8,10,511651,520909,9258,26873,248.79,0.75,0.5625,3.14,109.8565476,4.54,,,2815,1.45,1.6,,,,,0,0,4,74.59237446,0,0,,,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
27,1/25/2016,3:30:00 PM,1,2016,1,Grizzly Bay,Shoal,SB,SB,38.11517,-122.00209,,8.3,8.2,8.25,10,642929,652536,9607,26873,258.17,0.75,0.5625,3.14,113.9978238,7.46,,,,0.66,0,,,,,1,8.772097282,12,215.6478202,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
178,4/19/2016,2:18:00 PM,4,2016,2,Chipps Island,Tidal Marsh,SB,SB,38.060587,-121.90855,,4,6.3,5.15,10,742744,752491,9747,26873,261.93,0.75,0.5625,3.14,115.6590807,15.15,,,527,0.26,0.3,56.8,34,,,0,0,0,0,0,1,,,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,,0,0,1,0,0,0,0,0,1,0,7,,,,,,,,,,
57,2/9/2016,10:53:00 AM,2,2016,1,San Pablo,Shoal,SBP,San Pablo Bay,38.11908,-122.40207,,5.3,5.6,5.45,10,76362,86193,9831,26873,264.19,0.75,0.5625,3.14,116.6558348,8.25,,,26845,16.35,18.4,43.6,,,,0,0,8864,155662.3808,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,128,,,,,,,,,,,
16,1/24/2017,4:44:00 PM,1,2017,1,Near mothball fleet,Channel Bottom,SB,SB,38.07127,-122.088022,Formadahyde,29.7,30.8,30.3,10,57897,67923,10026,26873,269.43,0.75,0.5625,3.14,118.9697284,9,9,SLS 418,194,0.09,0.1,95.6,20,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,4,0,,0,0,0,0,,0,,0,,0,0,0,1,84.05499562,,,,,,,,
125,3/21/2016,10:32:00 AM,3,2016,1,Benicia Flats,Shoal,WSB,SB,38.057775,-122.176425,,6.8,5.8,6.3,10,91524,101572,10048,26873,270.02,0.75,0.5625,3.14,119.2307831,9.55,,,771,0.38,0.4,88.3,,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
179,5/4/2016,11:02:00 AM,5,2016,2,Mallard,Shoal,SB,SB,38.050039,-121.95109,,11.1,15.1,13.1,10,752491,762544,10053,26873,270.15,0.75,0.5625,3.14,119.2901137,13.03,,,3793,2.02,2.2,48.4,32,,,0,0,0,0,0,0,,,1,,,,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,,0,,0,0,6,0,0,1,0,0,1,0,16,,,,,,,,,,
118,2/24/2017,1:11:00 PM,2,2017,1,Carquinez Straight,Channel Bottom,WSB,SB,38.05319,-122.283453,Formadahyde,36,34.9,35.5,10,344695,355001,10306,26873,276.95,0.75,0.5625,3.14,122.2922423,11.8,11.8,SLS 405,16724,9.67,11,5,,70,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1063.027364,,,,,,,,
128,3/25/2016,10:13:00 AM,3,2016,1,Grizzly,Shoal,SB,SB,38.103509,-122.01366,,4.1,5.2,4.65,10,125456,135798,10342,26873,277.92,0.75,0.5625,3.14,122.7194226,10.23,,,355,0.17,0.2,178,,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
19,1/25/2016,11:10:00 AM,1,2016,1,Benicia Flats,Shoal,WSB,SB,38.02366,-122.14994,,4.1,4.6,4.35,10,557724,568261,10537,26873,283.16,0.75,0.5625,3.14,125.0333162,6.54,,,2336,1.518,1.3,,,,,19,151.9594983,293,4800.674467,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
193,5/5/2016,11:59:00 AM,5,2016,2,Grizzly Bay,Shoal,SB,SB,38.122224,-122.04719,,5.9,5.6,5.75,10,853794,864421,10627,26873,285.58,0.75,0.5625,3.14,126.1012671,12.53,,,11007,6.24,7,100.9,19,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,,0,0,2,0,1,0,0,0,0,0,5,,,,,,,,,,
113,2/24/2017,9:50:00 AM,2,2017,1,SanPablo OW,Channel Bottom,SBP,San Pablo Bay,37.992245,-122.400462,Formadahyde,37.3,38,37.7,10,277916,288543,10627,26873,285.58,0.75,0.5625,3.14,126.1012671,11.67,11.67,Regression,27973,17.27,19.3,6.3,,70,25,2,15.86026886,52,412.3669904,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,5,0,,0,0,0,0,,0,,0,,0,2,422,1425,113004.4156,30ft tow depth,,,,,,,
46,2/6/2017,2:40:00 PM,2,2017,1,Grizzly Bay,Shoal,SB,SB,38.107115,-122.001903,Formadahyde,6.6,,6.6,10,384412,395473,11061,26873,297.24,0.75,0.5625,3.14,131.2511636,9.1,9.1,SLS 609,240,0.11,0.1,38.7,31,na,na,1,7.618980073,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,59,0,,0,0,0,0,,0,,0,,0,0,0,1,76.18980073,,,,,,,,
202,5/16/2016,11:25:00 AM,5,2016,2,ROE Island,Shoal,SB,SB,38.073875,-122.03869,,5,7.1,6.05,10,929892,940980,11088,26873,297.97,0.75,0.5625,3.14,131.5715489,13.82,,,7990,4.45,4.9,104.3,40,,,0,0,0,0,0,0,,,0,,,,0,0,88,0,0,0,0,5,0,0,0,0,0,0,0,,0,,0,0,21,0,0,0,0,0,0,0,114,,,,,,,,,,
1,1/12/2016,11:31:00 AM,1,2016,1,No name,Tidal Marsh,SB,SB,38.038311,-122.10692,,4.1,3.8,3.95,10,301311,312404,11093,26873,298.10,0.75,0.5625,3.14,131.6308795,4.97,,,19241,11.3,12.8,58.7,,,,0,0,219,3408.369882,0,0,,,0,,,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
142,3/7/2017,11:12:00 AM,3,2017,1,Ryer Island,Tidal Marsh,SB,SB,38.086232,-122.018195,Formadahyde,4,5,4.5,10,769360,780507,11147,26873,299.55,0.75,0.5625,3.14,132.27165,10.86,10.86,Regression,197,,0.1,42.3,30,na,na,1,7.56019903,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,82,0,,0,0,0,0,,0,,0,,1,0,0,2,151.2039806,,,,,,,,
20,1/25/2016,12:19:00 PM,1,2016,1,No name,Tidal Marsh,SB,SB,38.037579,-122.10658,,5.3,4.8,5.05,10,568261,579497,11236,26873,301.95,0.75,0.5625,3.14,133.3277348,6.65,,,2193,1.425,1.3,,,,,2,15.00062987,13,199.7483676,0,0,,,0,,,,0,0,0,0,0,0,0,44,0,0,0,0,0,0,107,,0,,0,0,0,0,0,0,1,0,0,4,,,,,,,,,,,
126,3/25/2016,9:22:00 AM,3,2016,1,Grizzly Bay,Shoal,SB,SB,38.12035,-122.045113,,3.7,3.9,3.8,10,101591,112861,11270,26873,302.86,0.75,0.5625,3.14,133.7311829,10.17,,,423,0.2,0.2,211.8,,,,0,0,1,15.31890423,0,0,,,1,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,0,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
153,3/9/2017,9:30:00 AM,3,2017,1,Carquinez Straight,Channel Bottom,WSB,SB,38.057245,-122.27049,Formadahyde,35.6,34,34.8,10,597431,608810,11379,26873,305.79,0.75,0.5625,3.14,135.02459,11.89,11.89,Regression,22480,,15.2,129.2,25,60,23,6,44.43635043,50,370.3029204,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,1,0,21,0,,0,0,0,0,,0,,0,,0,0,109,504,37326.53437,zoop flow meter suspect; old net; first time using new line and old net so spent,,,,,,,
190,5/5/2016,10:38:00 AM,5,2016,2,ROE Island,Shoal,SB,SB,38.069941,-122.0212,,8,8.5,8.25,10,814102,825569,11467,26873,308.15,0.75,0.5625,3.14,136.0688087,12.75,,,5809,3.16,3.5,43.7,35,,,0,0,1,15.05572954,0,0,,,0,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,4,0,0,0,0,0,0,2,9,,,,,,,,,,
34,1/26/2017,3:12:00 PM,1,2017,1,Carquinez Straight,Channel Bottom,WSB,SB,38.0576,-122.275572,Formadahyde,27.5,28.5,28,10,294230,305701,11471,26873,308.26,0.75,0.5625,3.14,136.1162732,9.4,9.4,SLS 405,21298,12.53,14.3,27.6,23,na,na,0,0,790,5803.861518,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,3,0,,0,0,0,0,,0,,0,,0,0,15,218,16015.71913,"needed to re do tow, hit mud",,,,,,,
159,4/5/2016,11:26:00 AM,4,2016,2,Collinsville,Shoal ,SB,SB,38.042161,-121.87953,,12,3.5,7.75,10,507629,519190,11561,26873,310.68,0.75,0.5625,3.14,137.1842241,11.5,,,217,0.1,0.1,18.4,48,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,,0,,0,1,2,0,0,0,0,0,10,0,21,,,,,,,,,,
183,3/22/2017,10:18:00 AM,3,2017,1,Channel,Channel Bottom,SB,SB,38.041065,-122.105603,Formadahyde,43.4,43.5,43.5,10,277905,289562,11657,26873,313.26,0.75,0.5625,3.14,138.3233717,14.48,14.48,Regression,10282,,6.5,14.1,51,70,24,2,14.45887254,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,1,0,,0,0,0,0,,0,,0,,0,0,0,10240,740294.2738,one ten pound weight at deployment plus 16 pounds: total 16 pounds; 70 feet of l,,,,,,,
3,1/17/2017,2:01:00 PM,1,2017,1,SanPablo OW,Shoal,SBP,San Pablo Bay,38.105882,-122.456113,Formadahyde,4.2,10.5,7.4,10,949929,961598,11669,26873,313.58,0.75,0.5625,3.14,138.4657651,8.34,8.34,Regression,5668,3.04,3.4,81.6,,na,na,0,0,74,534.4281306,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,10,0,,0,0,0,0,,0,,0,,0,0,3,21,1516.620371,,,,,,,,
139,4/1/2016,9:37:00 AM,4,2016,2,Winter,Shoal,SB,SB,38.028961,-121.82444,,6.6,6.1,6.35,10,251616,263376,11760,26873,316.03,0.75,0.5625,3.14,139.5455821,10.05,,,203,0.1,0.1,13.3,53,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,0,,0,7,0,0,0,0,0,0,1,0,14,,,,,,,,,,
201,5/16/2016,10:51:00 AM,5,2016,2,Point Edith,Shoal,SB,SB,38.053342,-122.06501,,5.9,9.4,7.65,10,918097,929892,11795,26873,316.97,0.75,0.5625,3.14,139.9608964,13.57,,,12150,7.05,7.8,27.5,43,,,0,0,0,0,0,0,,,0,,,,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,,0,,0,0,30,0,0,1,0,0,0,0,52,,,,,,,,,,
85,2/22/2017,8:05:00 AM,2,2017,1,Martinez slough,Tidal Marsh,SB,SB,38.036682,-122.08643,Formadahyde,6.6,8.1,7.4,10,917304,929101,11797,26873,317.02,0.75,0.5625,3.14,139.9846286,11.9,11.9,SLS 504,806,0.4,0.4,73.2,16,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,17,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
151,3/8/2017,10:22:00 AM,3,2017,1,SanPablo OW,Channel Surface,SBP,San Pablo Bay,37.991405,-122.422638,Formadahyde,30.1,,30.1,10,942021,953847,11826,26873,317.80,0.75,0.5625,3.14,140.3287461,11.98,11.98,Regression,4958,,3,25.1,42,na,na,0,0,94,669.8556255,0,,3,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,19,0,,0,0,0,0,,0,,0,,0,0,3,0,0,,,,,,,,
153,4/4/2016,1:49:00 PM,4,2016,2,Honker Bay,Shoal,SB,SB,38.047582,-121.97102,,7.8,7,7.4,10,423661,435498,11837,26873,318.10,0.75,0.5625,3.14,140.4592734,10.81,,,333,0.16,0.2,39.7,28,,,3,21.35850433,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,,0,,0,0,0,0,0,0,0,0,31,0,71,,,,,,,,,,
147,4/4/2016,11:05:00 AM,4,2016,2,Grizzly Bay,Shoal,SB,SB,38.062846,-122.18917,,7.9,7.9,7.9,10,347352,359277,11925,26873,320.46,0.75,0.5625,3.14,141.5034921,10.49,,,302,0.14,0.2,174.6,21,,,3,21.20089021,0,0,0,0,,,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,,0,,0,4,0,0,0,0,3,0,24,0,56,,,,,,,,,,
138,3/7/2017,8:35:00 AM,3,2017,1,No Name Shoal,Shoal,SB,SB,38.038362,-122.103948,Formadahyde,5.8,6,5.9,10,697897,709836,11939,26873,320.84,0.75,0.5625,3.14,141.6696178,11.11,11.11,Regression,201,,0.1,36.5,28,na,na,0,0,0,0,1,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,97,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
137,4/1/2016,8:47:00 AM,4,2016,2,Kimball,Shoal,SB,SB,,,,3.8,5.8,4.8,10,226245,238339,12094,26873,325.00,0.75,0.5625,3.14,143.5088665,9.71,,,205,0.1,0.1,18.1,58,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,,0,,0,10,0,0,0,0,1,0,11,0,31,,,,,,,,,,
158,4/5/2016,10:50:00 AM,4,2016,2,Brown,Tidal Marsh,SB,SB,38.040222,-121.90729,,10.5,9.9,10.2,10,495524,507629,12105,26873,325.30,0.75,0.5625,3.14,143.6393938,12.46,,,1290,0.65,0.7,15,48,,,0,0,0,0,0,0,,,0,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,,0,,0,0,0,0,0,0,0,0,8,0,43,,,,,,,,,,
99,2/23/2017,10:19:00 AM,2,2017,1,SanPablo OW,Shoal,SBP,San Pablo Bay,38.085922,-122.371512,Formadahyde,12.2,12.2,12.2,10,92790,104991,12201,26873,327.88,0.75,0.5625,3.14,144.7785415,11.67,11.67,Regression,246,0.12,0.1,25.4,,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,1,0,,,0,0,0,22,0,,0,0,0,0,,0,,0,,0,0,15,0,0,,,,,,,,
170,4/18/2016,2:11:00 PM,4,2016,2,Honker Bay,Shoal,SB,SB,38.075579,-122.03243,,6.1,6.8,6.45,10,643542,655745,12203,26873,327.93,0.75,0.5625,3.14,144.8022737,13.51,,,880,0.43,0.5,36.2,30,,,0,0,0,0,0,0,,,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,,0,,0,0,27,0,0,0,0,0,41,0,71,,,,,,,,,,
144,4/4/2016,9:19:00 AM,4,2016,2,Benicia Flats,Shoal,WSB,SB,,,,3.3,4,3.65,10,309255,321480,12225,26873,328.52,0.75,0.5625,3.14,145.0633284,10.59,,,5573,2.95,3.4,40.1,39,,,0,0,2,28.24442547,0,0,,,0,,,,1,0,1,0,0,0,2,0,0,0,0,0,0,24,0,,0,,0,2,0,0,0,0,0,0,1,0,33,,,,,,,,,,
157,4/5/2016,10:24:00 AM,4,2016,2,Brown,Shoal,SB,SB,,,,3.2,5.2,4.2,10,483261,495524,12263,26873,329.54,0.75,0.5625,3.14,145.5142409,11.17,,,220,0.143,0.1,19.4,47,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,0,,0,0,0,0,0,0,0,0,31,0,37,,,,,,,,,,
143,4/1/2016,12:04:00 PM,4,2016,2,Brown,Tidal Marsh,SB,SB,38.048157,-121.96815,,8.2,10.5,9.35,10,296876,309244,12368,26873,332.37,0.75,0.5625,3.14,146.7601836,11.27,,,,0.6,0,12.8,62,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,0,,0,1,0,0,0,0,0,0,24,0,32,,,,,,,,,,
152,4/4/2016,1:28:00 PM,4,2016,2,Honker Bay,Shoal ,SB,SB,38.087032,-122.01172,,5.2,5.8,5.5,10,411251,423661,12410,26873,333.49,0.75,0.5625,3.14,147.2585607,10.92,,,301,0.2,0.2,41,30,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,,0,,0,3,0,0,0,0,0,0,37,0,69,,,,,,,,,,
,3/29/2017,1:00:00 PM,3,2017,1,Charleston Point,Shoal,South Bay,South Bay,37.452562,-122.070178,,4.7,9.4,7.05,10,752014,764469,12455,26873,334.70,0.75,0.5625,3.14,147.7925362,17.7,,,13069,7.55,8.320396283,45.31,18,,,2,13.53248311,469,,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,2,0,47,0,,0,0,0,0,0,0,0,0,0,0,0,124,,,,,,,,,,
176,3/21/2017,12:20:00 PM,3,2017,1,channel,Channel Bottom,SB,SB,38.050972,-121.934493,Formadahyde,40.2,39.5,39.9,10,149409,161872,12463,26873,334.92,0.75,0.5625,3.14,147.8874651,14.45,14.45,Regression,182,,0.1,15.8,,,,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,6,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
148,4/4/2016,11:26:00 AM,4,2016,2,Grizzly Bay,Shoal,SB,SB,38.081146,-122.09547,,6.7,3.1,4.9,10,359277,371821,12544,26873,337.10,0.75,0.5625,3.14,148.8486209,10.52,,,424,0.21,0.2,219.4,15,,,2,13.4364698,0,0,1,0,,,0,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,,0,,0,3,1,0,0,0,4,0,33,1,71,,,,,,,,,,
173,4/19/2016,12:08:00 PM,4,2016,2,Broad Slough,Shoal,SB,SB,38.04815,-121.96616,,7.3,10.9,9.1,10,677384,689937,12553,26873,337.34,0.75,0.5625,3.14,148.955416,14.12,,,240,0.11,0.1,9.4,57,,,0,0,0,0,0,0,,,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,0,,0,0,33,5,1,0,0,0,12,0,54,,,,,,,,,,
15,1/24/2017,4:19:00 PM,1,2017,1,Near mothball fleet,Channel Surface,SB,SB,38.059738,-122.051932,Formadahyde,24.8,26.5,25.7,10,45324,57897,12573,26873,337.87,0.75,0.5625,3.14,149.1927384,9,9,SLS 418,196,0.09,0.1,99.1,20,na,na,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,0,26,0,,0,0,0,0,,0,,0,,0,0,0,0,0,,,,,,,,
114,3/8/2016,2:33:00 PM,3,2016,1,Ryer,Tidal Marsh,SB,SB,38.080017,-122.007,,4.4,7.3,5.85,10,944168,956747,12579,26873,338.04,0.75,0.5625,3.14,149.2639352,10.07,,,4890,2.62,2.9,19,,,,3,20.09862595,41,562.7161204,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,,0,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
127,3/25/2016,9:47:00 AM,3,2016,1,Grizzly,Shoal,SB,SB,38.121076,-122.027265,,4.1,4.1,4.1,10,112861,125456,12595,26873,338.47,0.75,0.5625,3.14,149.4537931,9.81,,,251,0.12,0.1,137.3,,,,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
